id	title	abstract	keywords
1	跨地方饮食文化生产中的原真性重塑——西贝西北菜在广州的案例研究	在文献梳理基础上,采用结构方程模型方法,构建基于服务质量、食物质量、环境、原真性食物、原真性环境、原真性服务、感知价值、满意度、行为意向等9个概念的理论模型,讨论广州西贝西北菜餐厅跨地方饮食文化生产的顾客行为意向。研究发现:1跨地方文化生产餐厅的原真性可从原真性食物、原真性环境、原真性服务三个维度进行解释。原真性饮食文化生产凸显了地方性,但被消费者认知的原真性,是一种被凸显的、符号化的、重塑的原真性,是对学术界争论的几种原真性的杂糅和融合。2在跨地方文化生产中,原真性环境和服务比原真性食物更重要,尤其是在定位高档的跨地方饮食文化消费情境中,原真性服务对顾客满意感有显著影响,充分证明原真性服务是跨地方文化生产餐厅原真性的重要组成部分,对顾客的原真性体验产生积极影响。这是地方性饮食在跨地方饮食文化生产中的原真性重塑及融合的结果。3原真性服务对跨地方饮食文化的原真性重塑具有关键作用,消费者对跨地方饮食文化原真性的体验,取决于远离饮食文化源地的经营地的地方性文化特质。	原真性 跨地方 饮食地理 文化生产
2	饮食干预对腹膜透析患者营养状况的影响	目的探讨饮食干预对腹膜透析患者营养状态的影响。方法对52例腹膜透析患者进行饮食评估,并给予营养宣教及饮食干预,比较饮食干预前及干预后3个月、6个月患者各营养参数的变化情况。结果 52例患者中蛋白质摄入不足28例,热量摄入不足17例。而蛋白质和热量摄入不足患者中,主观综合性营养评估(SGA)评分提示营养不良的发生率明显增加(P0.05)。对患者进行营养宣教及饮食干预前患者SGA评分为(11.05±2.55)分,干预后3个月SGA评分为(9.92±2.21)分,到第6个月时下降至(8.38±1.29)分,差异有统计学意义(P0.05)。而血清白蛋白和前白蛋白水平在干预前分别为(34.55±5.15)g/L和(0.29±0.07)mg/L,干预后6个月分别上升至(37.14±4.39)g/L和(0.35±0.08)mg/L,差异有统计学意义(P0.05)。结论及时对患者进行营养评估,并进行个体化的营养宣教及饮食干预可以有效改善腹膜透析患者的营养状况,降低营养不良的发生率。	腹膜透析 营养不良 饮食干预
3	胃癌术后患者参与饮食管理对其营养状况影响的研究	"目的探讨患者参与饮食管理对胃癌术后患者营养状况的影响。方法将符合纳入标准的52例胃癌术后患者随机分为试验组和对照组,每组各26例。对照组接受一般饮食指导,试验组在接受一般饮食指导的同时,还接受患者参与式饮食管理。在干预前、干预后2周、干预后12周进行体重和BMI的测定,采用患者整体营养主观评估量表、饮食相关症状量表、饮食依从性量表及""3日饮食日记""进行调查。结果干预后12周与干预前相比,试验组的体重、BMI无明显变化,对照组逐渐降低;两组的整体营养主观评估量表得分的时间效应差异具有统计学意义(P0.05);两组的饮食相关症状、饮食摄入量及饮食依从性的组间效应差异具有统计学意义(P0.05)。结论患者参与饮食管理能够改善胃癌术后患者的营养状况。"	营养疗法 胃肿瘤 营养评价
4	饮食社交对政治信任的侵蚀及差异分析:关系资本的“副作用”	"本文使用2009年中国八城市""社会网络与职业经历""(JSNET)问卷调查数据,探讨饮食社交对政治信任的影响。实证分析结果表明,城镇居民的社交聚餐频率对政治信任各维度均有负向效应,且这种侵蚀效应在不同体制、不同性别、不同学历和不同地区的人群间具有显著差别。本文的研究结果表明,以""饭局""为途径来积累、维系和动员关系资本的过程,在特定的情境下往往伴随社会层面的消极影响,对政治信任带来""副作用""。"	社会资本 关系资本 饮食社交 政治信任
5	溃疡性结肠炎相关饮食影响及管理研究现状	正溃疡性结肠炎(ulcerative colitis,UC),是一种病因尚不十分明确的直肠和结肠炎症性疾病,临床表现为腹泻、黏液脓血便、腹痛等,病程较长并反复发作;UC发病多为青年,近几年患病率明显增高,数据显示在我国患病率为11.6/10万[1],并呈逐年上升趋势。目前临床治疗手段有限,且随病程的延长癌变概率增加[2],因此UC被世界卫生组织列为现代难治病之一。免疫、环境、饮食等因素被认为是UC发病的原因,其中饮食因素一直是国内外研究热点。科学的饮食管理不仅有利于控制UC的发病和复发,还能起到辅助性治疗的作用。在目前治疗手段有限的条件下,	结肠炎 溃疡性 饮食管理
6	跨地方饮食文化生产的过程研究──基于符号化的原真性视角	"全球化是去地方化,抑或在全新体系中定义新的地方性、凸显地方性,学术界对此一直存在争论。伴随全球化进程,地方性饮食追逐人口流动跨地方扩展,这些跨地方饮食在保持文化原真性和适应本地顾客需求方面挣扎。如何保持原真性,保持何种原真性成为跨地方饮食文化生产的焦点。本文通过对地方性与跨地方、原真性与符号化的相关研究进行梳理,基于饮食文化原真性的理论分析,揭示了""原真性的符号化""这一跨地方饮食文化生产的重要过程。与此同时,还阐述了在跨地方饮食文化生产过程中,原真性符号化的必然性及其循环过程,旨在为跨地方饮食文化生产提供理论依据和实践指引,同时也有利于理解地方性文化的跨地方传播、创新与发展。"	原真性 符号化 跨地方 饮食地理
7	医院-社区-家庭护理干预模式对2型糖尿病患者饮食控制的效果	目的探讨医院-社区-家庭护理干预模式用于2型糖尿病(T2DM)患者饮食控制的效果。方法将120例以2型糖尿病(T2DM)入院的患者便利分为干预组和对照组。两组患者康复出院后均给予常规饮食控制干预,干预组应用医院-社区-家庭护理干预模式进行饮食管理,评价两组患者干预前及干预后1年各类食物的日均摄入达标率;两组干预后的体质指数(BMI)、糖化血红蛋白(HbA1c)、血脂变化。结果两组干预后1年,干预组的总热量、谷类、蔬菜、蛋类、禽肉类、豆类、乳类、油脂类,鱼虾类、盐的摄入达标率优于对照组(P0.01);干预组的BMI、HbA1c、血脂各项水平均低于对照组(P0.01),差异有统计学意义。结论医院-社区-家庭护理干预模式对T2DM患者进行饮食控制管理,能帮助患者控制血糖、体质量和血脂水平,改善饮食行为。	糖尿病 2型 饮食习惯 社区卫生服务
8	电动汽车示范运营的政策与商业模式创新:全球经验及中国实践	发展电动汽车作为应对能源危机和环境污染的有效手段,受到全球各国的关注。本文以纽约、洛杉矶、波特兰、神奈川、鹿特丹、阿姆斯特丹、巴黎、巴塞罗那、柏林、汉堡、赫尔辛基、斯德哥尔摩、东北英格兰和北布拉邦特14个全球电动汽车产业发展较为快速的城市和地区为研究对象,在分析14个城市和地区的人口、面积、汽车保有量、电动汽车及充电设施数量等基本数据的基础上,重点从产业发展战略和投资、相关补贴和税收政策,法规和标准,以及是否设立专门机构4个方面对14个城市和地区促进电动汽车产业发展的政策进行剖析,并进一步按照电动汽车运营创新、电动汽车充电设施创新、电动汽车项目整合创新以及公众意识培育创新4个方面对14个城市和地区示范项目中特色鲜明的商业模式创新活动进行研究。最后通过对比中国新能源汽车推广应用城市的基础指标、相关政策和相关创新活动,本文得出,中国电动汽车产业发展需要在政府政策、商业模式创新、合作伙伴以及公众意识提升几个方面加大投入,从而加快中国电动汽车产业发展。	电动汽车 政策 商业模式创新
9	中国汽车工程学术研究综述·2017	为了促进中国汽车工程学科的发展,从汽车噪声-振动-声振粗糙度(Noise,Vibration,Harshness,NVH)控制、汽车电动化与低碳化、汽车电子化、汽车智能化与网联化以及汽车碰撞安全技术5个方面,系统梳理了国内外汽车工程领域的学术研究进展、热点前沿、存在问题、具体对策及发展前景。汽车NVH控制方面综述了从静音到声品质、新能源汽车NVH控制技术、车身与底盘总成NVH控制技术、主动振动控制技术等;汽车电动化与低碳化方面综述了传统汽车动力总成节能技术、混合动力电动汽车技术等;汽车电子化方面综述了汽车发动机电控技术、汽车转向电控技术、汽车制动电控技术、汽车悬架电控技术等;汽车智能化与网联化方面综述了中美智能网联汽车研究概要、复杂交通环境感知、高精度地图及车辆导航定位、汽车自主决策与轨迹规划、车辆横向控制及纵向动力学控制、智能网联汽车测试,并给出了先进驾驶辅助系统(ADAS)、车联网和人机共驾等典型应用实例解析;汽车碰撞安全技术方面综述了整车碰撞、乘员保护、行人保护、儿童碰撞安全与保护、新能源汽车碰撞安全等。该综述可为汽车工程学科的学术研究提供新的视角和基础资料。	综述 汽车工程 NVH控制 电动化
10	新能源汽车产业专利趋势分析	新能源汽车各项技术的成熟度存在较大差异,导致业界对产业发展方向的定位不甚清晰。本文按照情景分析、专利分析以及TRIZ技术进化路线分析所构成的技术分析及其技术预见流程,对中国新能源汽车行业的市场需求、产业发展目标和研发基础进行定性的情景分析;利用技术专利地图,对中国的混合动力汽车、纯电动汽车和燃料电池汽车这三种主要类型新能源汽车的专利技术信息进行分析。在此基础上,根据TRIZ技术进化理论,预见新能源汽车的技术进化路径,得出中国新能源汽车产业关键技术以及预期的实现时间。	新能源汽车 专利技术 专利地图 TRIZ理论
