id,title,key
1,跨地方饮食文化生产中的原真性重塑——西贝西北菜在广州的案例研究,文献 价值 结构 基础
2,饮食干预对腹膜透析患者营养状况的影响,状态 患者 水平 营养
3,胃癌术后患者参与饮食管理对其营养状况影响的研究,标准 营养 患者 饮食
4,饮食社交对政治信任的侵蚀及差异分析:关系资本的“副作用”,关系 饭局 信任 人群
5,溃疡性结肠炎相关饮食影响及管理研究现状,数据 世界卫生组织 饮食 热点
6,跨地方饮食文化生产的过程研究──基于符号化的原真性视角,进程 人口 焦点 文化
7,医院-社区-家庭护理干预模式对2型糖尿病患者饮食控制的效果,指数 油脂 社区 医院
8,电动汽车示范运营的政策与商业模式创新:全球经验及中国实践,指标 全球 数据 手段
9,中国汽车工程学术研究综述·2017,领域 传统 交通 热点
10,新能源汽车产业专利趋势分析,方向 情景 技术 目标
11,新能源汽车创新生态系统演进机理——基于比亚迪新能源汽车的案例研究,产品 案例 汽车 阶段
12,电动汽车充电基础设施建设与政府策略分析,经验 地方 补贴 特征
13,基于市场表现的中国新能源汽车产业发展政策剖析,指标 数据 汽车 分类
14,北京市居民汽车使用的特征及其影响因素,工作日 心理 规模 数据
15,电动汽车分布式储能控制策略及应用,基础 能量 状态 时刻
16,基于动态分时电价的电动汽车充电站有序充电策略,水平 有序 成本 负荷
17,计及可入网电动汽车的微网系统经济调度,规模 经济 有序 负荷
18,含电动汽车和风电机组的虚拟发电厂竞价策略,公司 背景 因素 成本
19,考虑时空分布的电动汽车充电负荷预测方法,用户 区域 单位 设施
20,电动汽车移动储能辅助频率控制策略的研究,大量 结构 优势 状态
21,计及电动汽车充电预测的实时充电优化方法,汽车 技术 理论 时间
22,京津冀都市圈汽车产业空间布局演化研究,市场 汽车 因素 数据
23,基于出行链的电动汽车充电负荷预测模型,工作日 情景 交通 负荷
24,创客教育的价值潜能及其争议,理念 教师 公平 全球
25,教育不平等的年代变化趋势(1940-2010)——对城乡教育机会不平等的再考察,数据 机会 农村 源头
26,发展教育大数据:内涵、价值和挑战,资产 产生 数据 高度
27,教育如何影响了人们的健康?——来自中国老年人的证据,关系 数据 老年人 高度
28,终身教育、终身学习与学习型社会的全球发展回溯与未来思考,全球 关系 原则 历史
29,新媒体联盟2015地平线报告高等教育版,教学 报告 激励机制 信息化
30,美国高校实施创客教育的路径分析,社区 总结 产品 经验
31,教育信息化资源发展战略研究,意义 教学 信息化 案例
32,教育信息化的宏观政策与战略研究,意义 事业 信息 进程
33,智慧教育体系架构与关键支撑技术,教师 学校 学生 教学
34,创客教育:信息技术使能的创新教育实践场,教师 交流 文献 激励机制
35,教育能否让我们更健康——基于2010年中国综合社会调查的城乡比较分析,劳动力 差距 市场 数据
36,中国农民工多维贫困的演进——基于收入与教育维度的考察,指数 劳动者 医疗保险 群体
37,创客教育连续统:激活众创时代的创新基因,教学 理念 课程 功能
38,“广谱式”创新创业教育的体系架构与理论价值,两极 价值 职业 模式
39,“互联网+”时代中国远程教育的机遇和挑战,传统 互联网 时代 战略
40,数字化时代的STEM教育与创客教育,课程 问题 评价 概念
41,技术支持的基于创造的学习——美国中小学创客教育的内涵、特征与实施路径,教师 产品 进程 资金
42,收入风险、融资约束与人力资本积累——公共教育投资的作用,效果 数据 居民 劳动者
43,新型城镇化与社区教育发展研究,文献 总结 思路 战略
44,创客教育的价值潜能及其争议,教师 体验 产生 人才
45,教育不平等的年代变化趋势(1940-2010)——对城乡教育机会不平等的再考察,机会 小学 数据 阶段
46,发展教育大数据:内涵、价值和挑战,资产 价值 数据 产生
47,教育如何影响了人们的健康?——来自中国老年人的证据,老年人 关系 高度 部分
48,终身教育、终身学习与学习型社会的全球发展回溯与未来思考,关系 基础 历史 全面
49,新媒体联盟2015地平线报告高等教育版,报告 高校 教学 产生
50,美国高校实施创客教育的路径分析,高校 意识 学生 创业
51,教育信息化资源发展战略研究,教学 案例 信息化 方式
52,教育信息化的宏观政策与战略研究,进程 信息化 世界 事业
53,智慧教育体系架构与关键支撑技术,家长 方向 教师 教学
54,创客教育:信息技术使能的创新教育实践场,体验 文化 教师 文献
