id,title,key
1,跨地方饮食文化生产中的原真性重塑——西贝西北菜在广州的案例研究,环境 文化 文献 体验
2,饮食干预对腹膜透析患者营养状况的影响,情况 营养 目的 意义
3,胃癌术后患者参与饮食管理对其营养状况影响的研究,时间 标准 营养 目的
4,饮食社交对政治信任的侵蚀及差异分析:关系资本的“副作用”,中国 社会 城市 性别
5,溃疡性结肠炎相关饮食影响及管理研究现状,环境 条件 数据 趋势
6,跨地方饮食文化生产的过程研究──基于符号化的原真性视角,人口 文化 过程 焦点
7,医院-社区-家庭护理干预模式对2型糖尿病患者饮食控制的效果,社区 医院 家庭 目的
8,电动汽车示范运营的政策与商业模式创新:全球经验及中国实践,中国 全球 项目 城市
9,中国汽车工程学术研究综述·2017,中国 问题 儿童 环境
10,新能源汽车产业专利趋势分析,中国 时间 汽车 信息
11,新能源汽车创新生态系统演进机理——基于比亚迪新能源汽车的案例研究,产品 平台 政策 汽车
12,电动汽车充电基础设施建设与政府策略分析,政策 方面 政府 地方
13,基于市场表现的中国新能源汽车产业发展政策剖析,中国 世界 问题 时间
14,北京市居民汽车使用的特征及其影响因素,中国 社会 北京 问题
15,电动汽车分布式储能控制策略及应用,情况 信息 能量 基础
16,基于动态分时电价的电动汽车充电站有序充电策略,用户 成本 水平 基础
17,计及可入网电动汽车的微网系统经济调度,经济 地区 规模 负荷
18,含电动汽车和风电机组的虚拟发电厂竞价策略,成本 能量 市场 比例
19,考虑时空分布的电动汽车充电负荷预测方法,城市 时间 用户 汽车
20,电动汽车移动储能辅助频率控制策略的研究,时间 用户 基本 结构
21,计及电动汽车充电预测的实时充电优化方法,问题 时间 汽车 技术
22,京津冀都市圈汽车产业空间布局演化研究,北京 城市 企业 政策
23,基于出行链的电动汽车充电负荷预测模型,时间 工作日 目的 居民
24,创客教育的价值潜能及其争议,全球 计划 问题 方式
25,教育不平等的年代变化趋势(1940-2010)——对城乡教育机会不平等的再考察,小学 全国 数据 农村
26,发展教育大数据:内涵、价值和挑战,问题 时代 过程 数据
27,教育如何影响了人们的健康?——来自中国老年人的证据,中国 老年人 人们 关系
28,终身教育、终身学习与学习型社会的全球发展回溯与未来思考,世界 全球 社会 政策
29,新媒体联盟2015地平线报告高等教育版,报告 全球 问题 团队
30,美国高校实施创客教育的路径分析,社区 学校 问题 高校
31,教育信息化资源发展战略研究,问题 方式 平台 标准
32,教育信息化的宏观政策与战略研究,世界 社会 国家 过程
33,智慧教育体系架构与关键支撑技术,学校 全国 国家 学生
34,创客教育:信息技术使能的创新教育实践场,社区 全球 项目 时间
35,教育能否让我们更健康——基于2010年中国综合社会调查的城乡比较分析,中国 社会 全国 政策
36,中国农民工多维贫困的演进——基于收入与教育维度的考察,中国 农民工 城市 全国
37,创客教育连续统:激活众创时代的创新基因,社会 时代 理念 文化
38,“广谱式”创新创业教育的体系架构与理论价值,理念 基本 关系 职业
39,“互联网+”时代中国远程教育的机遇和挑战,中国 方式 环境 时代
40,数字化时代的STEM教育与创客教育,问题 时代 过程 能力
41,技术支持的基于创造的学习——美国中小学创客教育的内涵、特征与实施路径,项目 方式 产品 学生
42,收入风险、融资约束与人力资本积累——公共教育投资的作用,世界 社会 国家 经济
43,新型城镇化与社区教育发展研究,社区 文献 总结 战略
44,创客教育的价值潜能及其争议,全球 计划 问题 方式
45,教育不平等的年代变化趋势(1940-2010)——对城乡教育机会不平等的再考察,小学 全国 数据 农村
46,发展教育大数据:内涵、价值和挑战,问题 时代 过程 数据
47,教育如何影响了人们的健康?——来自中国老年人的证据,中国 人们 老年人 关系
48,终身教育、终身学习与学习型社会的全球发展回溯与未来思考,世界 全球 社会 政策
49,新媒体联盟2015地平线报告高等教育版,报告 全球 问题 团队
50,美国高校实施创客教育的路径分析,社区 学校 问题 高校
51,教育信息化资源发展战略研究,问题 方式 平台 标准
52,教育信息化的宏观政策与战略研究,世界 社会 国家 过程
53,智慧教育体系架构与关键支撑技术,学校 全国 国家 中心
54,创客教育:信息技术使能的创新教育实践场,社区 全球 项目 时间
55,教育能否让我们更健康——基于2010年中国综合社会调查的城乡比较分析,中国 社会 全国 政策
56,中国农民工多维贫困的演进——基于收入与教育维度的考察,中国 农民工 城市 制度
57,创客教育连续统:激活众创时代的创新基因,社会 理念 时代 文化
58,“广谱式”创新创业教育的体系架构与理论价值,理念 基本 关系 职业
59,“互联网+”时代中国远程教育的机遇和挑战,中国 方式 时代 环境
60,数字化时代的STEM教育与创客教育,问题 时代 过程 能力
61,技术支持的基于创造的学习——美国中小学创客教育的内涵、特征与实施路径,项目 方式 产品 政策
62,收入风险、融资约束与人力资本积累——公共教育投资的作用,世界 社会 国家 经济
63,新型城镇化与社区教育发展研究,社区 文献 总结 战略
64,当代西方文论若干问题辨识——兼及中国文论重建,中国 问题 文化 关系
65,语言变革对中国现代文学形式发展的深度影响,中国 环境 形式 总结
66,论文学地图,问题 意义 技术 图文
67,民间文学:转向文本实践的研究,中国 问题 人们 过程
68,世界诗学的构想,中国 世界 时代 文化
69,新文学对传统文化的批判与承续,中国 文化 民族 传统
70,中国文学地理学的研究范式与学科融合趋势,程度 基本 文献 意义
71,从当下实践出发建立文学研究的中国话语,中国 问题 方式 经济
72,马克思经济全球化思想的哲学阐释逻辑,世界 全球 社会 经济
73,基于游客视角的历史街区旅游发展模式影响机理及创新——以苏州平江路为例,城市 文化 程度 体验
74,马克思主义中国化的当代理论成果——学习习近平总书记系列重要讲话精神,中国 世界 问题 制度
75,历史虚无主义思潮的表现、特点及其危害,中国 国家 现实 领域
76,马克思世界历史理论的方法论意义,中国 世界 社会 问题
77,法治与国家治理现代化,中国 方式 国家 基本
78,国家治理现代化进程中的国家审计:制度保障与实践逻辑,制度 国家 能力 产生
79,国家认同:全球化视野下的结构性分析,中国 社会 问题 制度
80,现代国家认同建构的政治逻辑,中国 社会 问题 民众
81,自然资源国家所有权公权说再论,国家 条件 范围 内容
82,中国宪法上国家所有的规范含义,中国 社会 规定 国家
83,加快法治建设促进国家治理体系和治理能力现代化,方式 国家 基本 能力
84,论国家治理现代化框架下的财政基础理论建设,制度 国家 基本 关系
85,依法治国与推进国家治理现代化,中国 制度 国家 关系
86,国际金融合作视野中的金砖国家开发银行,方式 缺口 国家 经济
87,论国家治理商数,报告 平台 国家 程度
88,国家认同视域下的公民道德建设,国家 条件 基本 关系
89,国家治理体系与治理能力研究:回顾与前瞻,中国 问题 制度 国家
90,我国国家资产负债表与自然资源资产负债表的编制与运用初探——以SNA 2008和SEEA 2012为线索的分析,问题 国家 机构 基本
91,社会自我规制与行政法的任务,社会 问题 国家 企业
92,法治社会建设论纲,中国 社会 国家 过程
93,宪法上的“国家所有权”:一场美丽的误会,社会 国家 热点 历史
94,国家所有的法律表达及其解释,社会 问题 规定 制度
95,论国家公园的公益性、国家主导性和科学性,中国 全球 问题 制度
96,地方法治建设及其评估机制探析,中国 社会 制度 国家
97,企业政治资源的诅咒效应——基于政治关联与企业技术创新的考察,企业 经济 关系 产生
98,中国政治传播研究的学术路径与现实维度,中国 世界 环境 时代
99,中国特色社会主义政治发展的实践前提与创新逻辑,中国 社会 制度 基本
100,政治关联影响我国上市公司长期绩效的三大效应,社会 企业 文献 关系
101,政治关联、高管薪酬与企业未来经营绩效,中国 问题 制度 企业
102,反腐败与企业创新:基于政治关联的解释,企业 政策 成本 水平
103,何种信任与为何信任?——当代中国公众政治信任现状与来源的实证分析,中国 社会 方面 公众
104,政治经济学批判:追求经济的“政治和哲学实现”,社会 经济 市民 财富
105,慈善捐赠、政治关联与债务融资——民营企业与政府的资源交换行为,中国 慈善 程度 关系
106,民营企业的社会责任、政治关联与债务融资——来自中国资本市场的经验证据,社会 问题 企业 经济
107,论协商民主在宪法体制与法治中国建设中的作用,中国 制度 国家 过程
108,政治关联、国际化战略与企业价值——来自中国民营上市公司面板数据的分析,中国 制度 企业 环境
109,政治关联与公开债务融资,环境 董事长 关系 方向
110,中国周边地缘政治与地缘经济格局和对策,中国 问题 经济 建议
111,互联网的政治性使用与我国公众的政治信任——一项经验性研究,社会 平台 关系 媒体
112,“一带一路”的地缘政治想象与地区合作,中国 世界 制度 国家
113,国企高管政治晋升对企业并购行为的影响——基于企业成长压力理论的实证研究,方式 企业 有所 数据
114,市场化、政治价值观与中国居民的政府信任,中国 关系 政府 数据
115,司法机关依法独立行使职权研究,社会 关系 方面 背景
116,移动新闻推荐技术及其应用研究综述,问题 用户 新闻 群体
117,“液态”的新闻业:新传播形态与新闻专业主义再思考——以澎湃新闻“东方之星”长江沉船事故报道为个案,社区 社会 平台 时代
118,走向公共:新闻专业主义再出发,社会 文化 条件 新闻
119,数据新闻:“讲一个好故事”?——数据新闻对传统新闻的继承与变革,中心 理念 条件 新闻
120,微信新闻:一个交往生成观的分析,世界 方式 平台 新闻
121,西方数据新闻中的中国:一个视觉修辞分析框架,中国 全球 时间 新闻
