id	title	key
1	跨地方饮食文化生产中的原真性重塑——西贝西北菜在广州的案例研究	真性 饮食文化 地方 生产
2	饮食干预对腹膜透析患者营养状况的影响	患者 干预 营养 饮食
3	胃癌术后患者参与饮食管理对其营养状况影响的研究	饮食 患者 量表 胃癌
4	饮食社交对政治信任的侵蚀及差异分析:关系资本的“副作用”	信任 社交 政治 不同
5	溃疡性结肠炎相关饮食影响及管理研究现状	发病 饮食 治疗 结肠炎
6	跨地方饮食文化生产的过程研究──基于符号化的原真性视角	真性 地方 饮食文化 地方性
7	医院-社区-家庭护理干预模式对2型糖尿病患者饮食控制的效果	干预 患者 饮食 护理
8	电动汽车示范运营的政策与商业模式创新:全球经验及中国实践	电动汽车 产业 创新 商业模式
9	中国汽车工程学术研究综述·2017	汽车 碰撞 综述 技术
10	新能源汽车产业专利趋势分析	新能源 技术 汽车 进化
11	新能源汽车创新生态系统演进机理——基于比亚迪新能源汽车的案例研究	新能源 汽车 演进 生态系统
12	电动汽车充电基础设施建设与政府策略分析	基础设施 充电 政府 建设
13	基于市场表现的中国新能源汽车产业发展政策剖析	新能源 汽车产业 政策 市场
14	北京市居民汽车使用的特征及其影响因素	汽车 使用 居民 家庭
15	电动汽车分布式储能控制策略及应用	电动汽车 分布式 储能 车群
16	基于动态分时电价的电动汽车充电站有序充电策略	充电站 充电 用户 电动汽车
17	计及可入网电动汽车的微网系统经济调度	电动汽车 调度 特性 微网
18	含电动汽车和风电机组的虚拟发电厂竞价策略	虚拟 机组 竞价 风电
19	考虑时空分布的电动汽车充电负荷预测方法	充电 电动汽车 分布 预测
20	电动汽车移动储能辅助频率控制策略的研究	频率 电动汽车 电网 储能
21	计及电动汽车充电预测的实时充电优化方法	充电 优化 预测 实时
22	京津冀都市圈汽车产业空间布局演化研究	集聚 企业 京津冀 汽车
23	基于出行链的电动汽车充电负荷预测模型	出行 电动汽车 充电 负荷
24	创客教育的价值潜能及其争议	创客 教育 课程 价值
25	教育不平等的年代变化趋势(1940-2010)——对城乡教育机会不平等的再考察	平等 机会 城乡 假设
26	发展教育大数据:内涵、价值和挑战	教育 驱动 数据 发展
27	教育如何影响了人们的健康?——来自中国老年人的证据	健康 老年人 教育 影响
28	终身教育、终身学习与学习型社会的全球发展回溯与未来思考	三者 终身 终身教育 学习型
