id,title,key
1,跨地方饮食文化生产中的原真性重塑——西贝西北菜在广州的案例研究,真性 饮食文化 地方 生产
2,饮食干预对腹膜透析患者营养状况的影响,患者 干预 饮食 营养
3,胃癌术后患者参与饮食管理对其营养状况影响的研究,饮食 患者 管理 量表
4,饮食社交对政治信任的侵蚀及差异分析:关系资本的“副作用”,不同 信任 政治 社交
5,溃疡性结肠炎相关饮食影响及管理研究现状,饮食 治疗 发病 管理
6,跨地方饮食文化生产的过程研究──基于符号化的原真性视角,地方 真性 饮食文化 地方性
7,医院-社区-家庭护理干预模式对2型糖尿病患者饮食控制的效果,干预 患者 饮食 控制
8,电动汽车示范运营的政策与商业模式创新:全球经验及中国实践,电动汽车 创新 发展 产业
9,中国汽车工程学术研究综述·2017,汽车 技术 综述 方面
10,新能源汽车产业专利趋势分析,分析 技术 新能源 汽车
11,新能源汽车创新生态系统演进机理——基于比亚迪新能源汽车的案例研究,创新 汽车 新能源 演进
12,电动汽车充电基础设施建设与政府策略分析,基础设施 充电 建设 政府
13,基于市场表现的中国新能源汽车产业发展政策剖析,政策 发展 新能源 汽车产业
14,北京市居民汽车使用的特征及其影响因素,汽车 使用 居民 重要
15,电动汽车分布式储能控制策略及应用,电动汽车 分布式 储能 电网
16,基于动态分时电价的电动汽车充电站有序充电策略,充电 充电站 用户 电动汽车
17,计及可入网电动汽车的微网系统经济调度,电动汽车 不同 调度 经济
18,含电动汽车和风电机组的虚拟发电厂竞价策略,虚拟 市场 电动汽车 机组
19,考虑时空分布的电动汽车充电负荷预测方法,充电 电动汽车 不同 分布
20,电动汽车移动储能辅助频率控制策略的研究,电动汽车 电网 频率 模型
21,计及电动汽车充电预测的实时充电优化方法,充电 优化 方法 预测
22,京津冀都市圈汽车产业空间布局演化研究,集聚 企业 汽车 研究
23,基于出行链的电动汽车充电负荷预测模型,电动汽车 充电 负荷 出行
24,创客教育的价值潜能及其争议,创客 教育 价值 问题
